signal_time,return,diff,pnl
1753911000,-0.000115802,0.001154244,3.4022%
1753911300,0.00025571,0.002277404,3.4278%
1753911600,0.000590154,0.004445793,3.4868%
1753911900,0.000395686,0.002435543,3.5263%
1753912200,0.00022509,0.001941875,3.5489%
1753912500,0.000912214,0.003589008,3.6401%
1753912800,-0.000245655,0.001625145,3.6155%
1753913100,7.31E-05,0.001227245,3.6228%
1753913400,0.000287957,0.001522409,3.6516%
1753913700,0.000127738,0.001878291,3.6644%
1753914000,0.000866115,0.001949062,3.7510%
1753914300,0.000655777,0.002098779,3.8166%
1753914600,-0.001104721,0.002671829,3.7061%
1753914900,0.00023711,0.001937445,3.7298%
1753915200,-0.000854145,0.000920107,3.6444%
1753915500,0.000605806,0.005113307,3.7050%
1753915800,-0.00164798,0.002546591,3.5402%
1753916100,-0.000379692,0.001403821,3.5022%
1753916400,0.001651902,0.001618182,3.6674%
1753916700,-0.000102058,0.004930651,3.6572%
1753917000,1.88E-05,0.00204249,3.6591%
1753917300,0.000159418,0.004587235,3.6750%
1753917600,-0.000491887,0.005372359,3.6258%
1753917900,0.000430881,0.001590813,3.6689%
1753918200,0.001207744,0.002275646,3.7897%
1753918500,0.000856738,0.002123961,3.8754%
1753918800,-0.000301726,0.003484359,3.8452%
1753919100,0.001806219,0.001889462,4.0258%
1753919400,-0.000550711,0.002992481,3.9708%
1753919700,0.000659975,0.001973106,4.0367%
1753920000,-0.001126401,0.002978213,3.9241%
1753920300,0.000194025,0.003817274,3.9435%
1753920600,0.000811728,0.00321474,4.0247%
1753920900,-0.000187657,0.001857525,4.0059%
1753921200,0.000141865,0.002291579,4.0201%
1753921500,0.001836491,0.002128158,4.2038%
1753921800,0.001236925,0.002611098,4.3274%
1753922100,0.001227232,0.001943144,4.4502%
1753922400,0.000146684,0.001936506,4.4648%
1753922700,-0.000210747,0.001520126,4.4438%
1753923000,0.000560106,0.001705476,4.4998%
1753923300,-0.000199706,0.001700575,4.4798%
1753923600,-0.000791835,0.001728612,4.4006%
1753923900,-0.000573945,0.001645948,4.3432%
1753924200,0.000553398,0.001899671,4.3986%
1753924500,-0.000498457,0.002749926,4.3487%
1753924800,-0.00026592,0.003565945,4.3221%
1753925100,-0.000748439,0.002236212,4.2473%
1753925400,-0.001627776,0.00190592,4.0845%
1753925700,0.00051381,0.000928295,4.1359%
1753926000,-0.000549969,0.002318032,4.0809%
1753926300,-0.000310819,0.002710263,4.0498%
1753926600,-0.0002163,0.002075642,4.0282%
1753926900,0.000370219,0.001123942,4.0652%
1753927200,-0.000813624,0.001601362,3.9838%
1753927500,0.002543456,0.001663454,4.2382%
1753927800,0.000114948,0.000989837,4.2497%
1753928100,-0.000234244,0.001542502,4.2263%
1753928400,-0.00130108,0.002399048,4.0961%
1753928700,0.000448564,0.001617452,4.1410%
1753929000,0.000535452,0.001813554,4.1945%
1753929300,0.000569395,0.001897257,4.2515%
1753929600,0.002657436,0.001335076,4.5172%
1753929900,-0.001256281,0.00335479,4.3916%
1753930200,0.001585512,0.002428823,4.5502%
1753930500,-0.00102619,0.003121264,4.4475%
1753930800,-0.000546826,0.001498514,4.3929%
1753931100,0.000958242,0.002508532,4.4887%
1753931400,-0.000143621,0.001548684,4.4743%
1753931700,-0.000445573,0.003153541,4.4298%
1753932000,0.000655246,0.00131651,4.4953%
1753932300,3.27E-05,0.001875732,4.4985%
1753932600,0.000221813,0.00205289,4.5207%
1753932900,-0.000632342,0.001086589,4.4575%
1753933200,-1.46E-05,0.001736516,4.4560%
1753933500,-0.000175147,0.002879792,4.4385%
1753933800,0.000362845,0.001435173,4.4748%
1753934100,-6.23E-05,0.003797492,4.4686%
1753934400,0.000169349,0.001385428,4.4855%
1753934700,0.000328582,0.00335556,4.5184%
1753935000,0.000144096,0.00110383,4.5328%
1753935300,-0.000445279,0.001356567,4.4882%
1753935600,0.000230261,0.002550653,4.5113%
1753935900,8.82E-06,0.001118941,4.5122%
1753936200,-0.000839097,0.002408221,4.4282%
1753936500,0.000227261,0.001934946,4.4510%
1753936800,-0.000811461,0.001576498,4.3698%
1753937100,0.000377391,0.001873379,4.4076%
1753937400,0.000360906,0.001685265,4.4437%
1753937700,0.000186874,0.002582145,4.4623%
1753938000,-0.000725494,0.002641095,4.3898%
1753938300,-0.002024288,0.001193691,4.1874%
1753938600,-0.001183808,0.002343817,4.0690%
1753938900,-0.000375248,0.001617702,4.0315%
1753939200,-0.000197593,0.001702484,4.0117%
1753939500,0.000123773,0.002994987,4.0241%
1753939800,0.000913044,0.001728697,4.1154%
1753940100,-0.000543047,0.001981071,4.0611%
1753940400,-0.000123944,0.001911356,4.0487%
1753940700,-0.000385869,0.001312512,4.0101%
1753941000,0.00018823,0.002898559,4.0289%
1753941300,0.000509421,0.002530032,4.0799%
1753941600,0.000631585,0.001465236,4.1430%
1753941900,-0.000565733,0.00126658,4.0864%
1753942200,0.000906607,0.00148421,4.1771%
1753942500,-0.000365542,0.000816735,4.1406%
1753942800,-3.76E-05,0.00232135,4.1368%
1753943100,0.000156906,0.001985604,4.1525%
1753943400,0.000465739,0.001326883,4.1991%
1753943700,0.001300523,0.002206506,4.3291%
1753944000,-0.000824962,0.001382731,4.2466%
1753944300,0.000715491,0.004683969,4.3182%
1753944600,0.000180414,0.004208148,4.3362%
1753944900,0.00107717,0.003294716,4.4439%
1753945200,-0.000651771,0.003029971,4.3787%
1753945500,-6.00E-05,0.00213951,4.3727%
1753945800,0.001197185,0.000973015,4.4925%
1753946100,0.000298414,0.00263199,4.5223%
1753946400,-0.000753729,0.002160129,4.4469%
1753946700,-0.000461078,0.003146356,4.4008%
1753947000,-0.00078352,0.004423859,4.3225%
1753947300,-0.000432799,0.001115444,4.2792%
1753947600,-0.000452599,0.001333264,4.2339%
1753947900,-1.42E-05,0.00326373,4.2325%
1753948200,-0.000865501,0.002550349,4.1460%
1753948500,0.000256706,0.001990662,4.1716%
1753948800,-0.000781343,0.002238067,4.0935%
1753949100,0.000327757,0.004621313,4.1263%
1753949400,0.000372967,0.003514152,4.1636%
1753949700,-0.000792398,0.002923899,4.0843%
1753950000,-0.001402682,0.001828992,3.9441%
1753950300,0.001320959,0.003465208,4.0762%
1753950600,-5.36E-05,0.002153582,4.0708%
1753950900,-0.001230685,0.002608669,3.9477%
1753951200,0.000724466,0.002103913,4.0202%
1753951500,-0.000744147,0.000974466,3.9458%
1753951800,-0.000472375,0.003272933,3.8985%
1753952100,-0.000415629,0.001788428,3.8570%
1753952400,-0.001837772,0.003066162,3.6732%
1753952700,0.000212888,0.001678341,3.6945%
1753953000,9.63E-05,0.002037921,3.7041%
1753953300,-0.000118486,0.000967213,3.6923%
1753953600,-2.79E-05,0.001706344,3.6895%
1753953900,0.000151644,0.002169701,3.7046%
1753954200,-0.000269723,0.002754295,3.6777%
1753954500,-0.000727391,0.001719377,3.6049%
1753954800,-0.001020371,0.00104068,3.5029%
1753955100,-0.00089186,0.002365802,3.4137%
1753955400,0.001386044,0.001650798,3.5523%
1753955700,-0.000543626,0.001117401,3.4979%
1753956000,-0.000356124,0.001552926,3.4623%
1753956300,-3.39E-05,0.001525334,3.4589%
1753956600,0.001510145,0.000903018,3.6100%
1753956900,-0.000600046,0.002814221,3.5499%
1753957200,3.98E-05,0.00097858,3.5539%
1753957500,0.000274246,0.002351124,3.5814%
1753957800,-0.000439884,0.003316678,3.5374%
1753958100,0.000176635,0.002471791,3.5550%
1753958400,0.000446566,0.001440436,3.5997%
1753958700,0.001187326,0.002316599,3.7184%
1753959000,-0.000103295,0.00158746,3.7081%
1753959300,0.000601043,0.001428572,3.7682%
1753959600,-0.000274069,0.00159783,3.7408%
1753959900,-0.001096871,0.001698563,3.6311%
1753960200,-0.000130231,0.003383416,3.6181%
1753960500,-0.000142482,0.001305217,3.6038%
1753960800,2.17E-06,0.001299671,3.6040%
1753961100,-0.000205684,0.001559118,3.5835%
1753961400,-0.000745341,0.002153761,3.5089%
1753961700,0.0002521,0.001782861,3.5342%
1753962000,-0.000976589,0.00193482,3.4365%
1753962300,-1.42E-05,0.00154064,3.4351%
1753962600,0.00086194,0.001971122,3.5213%
1753962900,0.000827274,0.000935923,3.6040%
1753963200,0.00084905,0.00334679,3.6889%
1753963500,0.000562727,0.001233473,3.7452%
1753963800,0.001701264,0.001676924,3.9153%
1753964100,-0.001073288,0.003540727,3.8080%
1753964400,0.000813287,0.000906551,3.8893%
1753964700,0.001852077,0.001668881,4.0745%
